Id,Predicted
0, 0.54
1, 0.16
2, 0.54
3, 0.26
4, 0.89
5, 0.08
6, 0.54
7, 0.51
8, 0.47
9, 0.77
10, 0.47
11, 0.54
12, 0.24
13, 0.54
14, 0.89
15, 1.00
16, 0.89
17, 0.54
18, 0.47
19, 0.57
20, 0.26
21, 0.89
22, 0.54
23, 0.54
24, 0.47
25, 0.47
26, 0.54
27, 0.54
28, 0.47
29, 0.47
30, 0.67
31, 0.47
32, 0.47
33, 0.26
34, 0.57
35, 0.40
36, 0.47
37, 0.47
38, 0.54
39, 0.96
40, 0.47
41, 0.26
42, 0.47
43, 0.40
44, 0.89
45, 0.47
46, 0.47
47, 0.16
48, 0.54
49, 0.57
50, 0.16
51, 0.16
52, 0.08
53, 0.54
54, 0.47
55, 0.54
56, 0.40
57, 0.46
58, 0.26
59, 0.47
60, 0.54
61, 0.57
62, 0.08
63, 0.89
64, 0.96
65, 0.26
66, 0.74
67, 0.47
68, 0.08
69, 0.70
70, 0.54
71, 0.96
72, 0.89
73, 0.47
74, 0.08
75, 0.57
76, 0.54
77, 0.47
78, 0.47
79, 0.16
80, 0.70
81, 0.53
82, 0.53
83, 0.96
84, 0.53
85, 0.57
86, 0.24
87, 0.47
88, 0.24
89, 0.96
90, 0.47
91, 0.89
92, 0.33
93, 0.53
94, 0.89
95, 0.47
96, 0.26
97, 0.47
98, 1.00
99, 0.26
100, 0.54
101, 0.47
102, 0.02
103, 0.74
104, 0.54
105, 0.24
106, 0.54
107, 0.40
108, 0.26
109, 0.57
110, 0.16
111, 0.33
112, 0.47
113, 0.47
114, 0.54
115, 0.54
116, 0.67
117, 0.47
118, 0.08
119, 0.57
120, 0.16
121, 0.89
122, 0.53
123, 0.40
124, 0.54
125, 0.08
126, 0.57
127, 0.54
128, 0.47
129, 0.57
130, 0.08
131, 0.57
132, 0.08
133, 0.24
134, 0.47
135, 0.47
136, 0.34
137, 0.23
138, 0.47
139, 0.57
140, 0.47
141, 0.47
142, 0.33
143, 1.00
144, 0.96
145, 0.40
146, 0.47
147, 0.47
148, 0.47
149, 0.23
150, 0.26
151, 1.00
152, 0.16
153, 0.23
154, 0.40
155, 0.74
156, 0.16
157, 0.54
158, 0.47
159, 0.47
160, 0.53
161, 0.47
162, 0.77
163, 0.08
164, 0.54
165, 0.24
166, 0.16
167, 0.54
168, 0.96
169, 0.26
170, 0.54
171, 0.47
172, 0.77
173, 0.74
174, 0.40
175, 0.67
176, 0.40
177, 0.08
178, 0.54
179, 0.47
180, 0.47
181, 0.47
182, 0.89
183, 0.54
184, 0.47
185, 0.47
186, 0.47
187, 0.23
188, 0.54
189, 0.47
190, 0.54
191, 0.54
192, 0.26
193, 0.70
194, 0.47
195, 0.16
196, 0.40
197, 0.77
198, 0.08
199, 0.16
200, 0.54
201, 0.54
202, 0.54
203, 0.40
204, 0.74
205, 0.33
206, 0.08
207, 0.47
208, 1.00
209, 0.47
210, 0.26
211, 0.47
212, 0.33
213, 0.54
214, 0.47
215, 0.70
216, 0.54
217, 0.54
218, 0.47
219, 0.01
220, 0.08
221, 0.47
222, 0.42
223, 0.08
224, 0.47
225, 0.47
226, 0.47
227, 0.89
228, 0.54
229, 0.47
230, 0.16
231, 0.16
232, 0.47
233, 0.54
234, 0.16
235, 0.16
236, 0.33
237, 0.16
238, 0.54
239, 0.26
240, 0.46
241, 0.86
242, 0.02
243, 0.08
244, 0.47
245, 0.40
246, 0.74
247, 0.57
248, 0.47
249, 0.08
250, 0.89
251, 0.26
252, 0.54
253, 0.16
254, 0.26
255, 0.54
256, 0.33
257, 0.47
258, 0.54
259, 0.47
260, 0.01
261, 0.16
262, 0.08
263, 1.00
264, 0.47
265, 0.47
266, 0.47
267, 0.67
268, 0.47
269, 0.47
